2025-03-14T14:01:24.670Z warp-connection-stats: Time since handshake: 0.14s, tx: 3.00 KiB, rx: 2.61 KiB, loss: 13.7 %, latency: 12 ms
2025-03-14T14:03:24.666Z warp-connection-stats: Time since handshake: 120.14s, tx: 37.43 KiB, rx: 77.58 KiB, loss: 0.7 %, latency: 7 ms
2025-03-14T14:05:24.661Z warp-connection-stats: Time since handshake: 240.14s, tx: 60.69 KiB, rx: 122.35 KiB, loss: 0.4 %, latency: 12 ms
2025-03-14T14:07:24.654Z warp-connection-stats: Time since handshake: 360.14s, tx: 84.08 KiB, rx: 167.44 KiB, loss: 0.3 %, latency: 6 ms
2025-03-14T14:09:24.648Z warp-connection-stats: Time since handshake: 480.14s, tx: 107.83 KiB, rx: 212.77 KiB, loss: 0.2 %, latency: 5 ms
2025-03-14T14:11:24.640Z warp-connection-stats: Time since handshake: 600.14s, tx: 130.69 KiB, rx: 256.99 KiB, loss: 0.2 %, latency: 6 ms
2025-03-14T14:13:24.633Z warp-connection-stats: Time since handshake: 720.14s, tx: 154.80 KiB, rx: 302.90 KiB, loss: 0.2 %, latency: 5 ms
2025-03-14T14:15:24.626Z warp-connection-stats: Time since handshake: 840.14s, tx: 178.69 KiB, rx: 348.43 KiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:17:24.619Z warp-connection-stats: Time since handshake: 960.14s, tx: 201.78 KiB, rx: 393.08 KiB, loss: 0.1 %, latency: 7 ms
2025-03-14T14:19:24.613Z warp-connection-stats: Time since handshake: 1080.14s, tx: 225.94 KiB, rx: 438.86 KiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:21:24.607Z warp-connection-stats: Time since handshake: 1200.14s, tx: 248.99 KiB, rx: 484.04 KiB, loss: 0.1 %, latency: 7 ms
2025-03-14T14:23:24.603Z warp-connection-stats: Time since handshake: 1320.14s, tx: 272.35 KiB, rx: 0.52 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:25:24.596Z warp-connection-stats: Time since handshake: 1440.14s, tx: 295.64 KiB, rx: 0.56 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:27:24.588Z warp-connection-stats: Time since handshake: 1560.14s, tx: 319.07 KiB, rx: 0.60 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:29:24.583Z warp-connection-stats: Time since handshake: 1680.14s, tx: 342.52 KiB, rx: 0.65 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:31:24.576Z warp-connection-stats: Time since handshake: 1800.14s, tx: 366.02 KiB, rx: 0.69 MiB, loss: 0.1 %, latency: 6 ms
2025-03-14T14:33:24.569Z warp-connection-stats: Time since handshake: 1920.14s, tx: 386.63 KiB, rx: 0.73 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:35:24.562Z warp-connection-stats: Time since handshake: 2040.14s, tx: 410.49 KiB, rx: 0.78 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:37:24.556Z warp-connection-stats: Time since handshake: 2160.14s, tx: 434.61 KiB, rx: 0.82 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:39:24.549Z warp-connection-stats: Time since handshake: 2280.14s, tx: 457.44 KiB, rx: 0.86 MiB, loss: 0.1 %, latency: 6 ms
2025-03-14T14:41:24.543Z warp-connection-stats: Time since handshake: 2400.14s, tx: 481.20 KiB, rx: 0.91 MiB, loss: 0.1 %, latency: 5 ms
2025-03-14T14:43:24.536Z warp-connection-stats: Time since handshake: 2520.14s, tx: 505.24 KiB, rx: 0.95 MiB, loss: 0.1 %, latency: 9 ms
2025-03-14T14:45:24.530Z warp-connection-stats: Time since handshake: 2640.14s, tx: 0.52 MiB, rx: 1.00 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T14:47:24.524Z warp-connection-stats: Time since handshake: 2760.14s, tx: 0.54 MiB, rx: 1.04 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T14:49:24.518Z warp-connection-stats: Time since handshake: 2880.14s, tx: 0.56 MiB, rx: 1.08 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T14:51:24.512Z warp-connection-stats: Time since handshake: 3000.14s, tx: 0.59 MiB, rx: 1.13 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T14:53:24.506Z warp-connection-stats: Time since handshake: 3120.14s, tx: 0.61 MiB, rx: 1.17 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T14:55:24.496Z warp-connection-stats: Time since handshake: 3240.14s, tx: 0.63 MiB, rx: 1.22 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T14:57:24.488Z warp-connection-stats: Time since handshake: 3360.14s, tx: 0.65 MiB, rx: 1.26 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T14:59:24.480Z warp-connection-stats: Time since handshake: 3480.14s, tx: 0.68 MiB, rx: 1.31 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T15:01:24.473Z warp-connection-stats: Time since handshake: 3600.14s, tx: 0.70 MiB, rx: 1.35 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:03:24.465Z warp-connection-stats: Time since handshake: 3720.14s, tx: 0.72 MiB, rx: 1.39 MiB, loss: 0.0 %, latency: 9 ms
2025-03-14T15:05:24.457Z warp-connection-stats: Time since handshake: 3840.14s, tx: 0.74 MiB, rx: 1.43 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:07:24.450Z warp-connection-stats: Time since handshake: 3960.14s, tx: 0.77 MiB, rx: 1.48 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T15:09:24.442Z warp-connection-stats: Time since handshake: 4080.14s, tx: 0.79 MiB, rx: 1.52 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T15:11:24.434Z warp-connection-stats: Time since handshake: 4200.14s, tx: 0.81 MiB, rx: 1.56 MiB, loss: 0.0 %, latency: 9 ms
2025-03-14T15:13:24.425Z warp-connection-stats: Time since handshake: 4320.14s, tx: 0.83 MiB, rx: 1.61 MiB, loss: 0.0 %, latency: 13 ms
2025-03-14T15:15:24.416Z warp-connection-stats: Time since handshake: 4440.14s, tx: 0.86 MiB, rx: 1.65 MiB, loss: 0.0 %, latency: 18 ms
2025-03-14T15:17:24.410Z warp-connection-stats: Time since handshake: 4560.14s, tx: 0.88 MiB, rx: 1.70 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:19:24.400Z warp-connection-stats: Time since handshake: 4680.14s, tx: 0.90 MiB, rx: 1.74 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:21:24.392Z warp-connection-stats: Time since handshake: 4800.14s, tx: 0.93 MiB, rx: 1.78 MiB, loss: 0.0 %, latency: 5 ms
